accuracy,failures,budget
0.3036052363349825,29,50
0.4519295642453362,26,50
0.5093823633461564,25,50
0.3558829987540973,30,50
0.6064703355142891,19,50
0.4397811028233075,26,50
0.6634453567719913,15,50
0.2619099638511087,27,50
0.4727782018816856,26,50
0.5514766595509983,21,50
0.5282958541283762,24,50
0.5498156727519723,23,50
0.5243431252674962,25,50
0.5189413032896308,23,50
0.3061977779898122,30,50
0.6288850088504316,19,50
0.6515842837456636,17,50
0.4661838397390399,23,50
0.4321080643247554,26,50
0.372263906990562,28,50
0.471903886114799,23,50
0.5089866452473717,26,50
0.6261933346496606,18,50
0.4962551958460923,25,50
0.382376773436199,25,50
0.4937615200548315,24,50
0.5383397101008219,23,50
0.4978084373565663,25,50
0.5986710112876172,20,50
0.3167155535672086,33,50
0.5551570442896998,45,100
0.5599044227136099,43,100
0.5030682553476795,44,100
0.6114408482453205,40,100
0.5377740620219507,45,100
0.5063870087704394,48,100
0.622419314094578,39,100
0.5131888171780377,48,100
0.5529152436547723,37,100
0.5394027053370931,47,100
0.5580261446176393,38,100
0.5508676512840285,42,100
0.4204083726113905,49,100
0.4511402189509591,51,100
0.4891581687965506,51,100
0.4679404428891557,49,100
0.5086762966492968,49,100
0.3838976096333811,57,100
0.4103482327827941,56,100
0.4457204163614041,53,100
0.5375069664828479,44,100
0.4543510408954643,51,100
0.5642172052541757,44,100
0.4792278755999716,48,100
0.4514675966464105,52,100
0.4478920120734796,50,100
0.4748979324016357,49,100
0.4457300101942554,51,100
0.5173351955429316,47,100
0.584780710726143,42,100
0.5320056168600863,85,200
0.4199940439075927,105,200
0.4926616703478551,93,200
0.5764735280472448,83,200
0.4575754415043783,91,200
0.5227108110964112,92,200
0.4598769753302444,94,200
0.4320131982044406,96,200
0.5421293607764794,83,200
0.4037822994710858,93,200
0.5540045947791754,85,200
0.5621259300347793,90,200
0.4517916727574871,103,200
0.4509409310798458,99,200
0.515214652456963,91,200
0.4510692198393384,91,200
0.5418474754253159,91,200
0.4884542995363102,96,200
0.5527780185687068,88,200
0.509396415163341,90,200
0.4811630432540075,89,200
0.5681610753599241,84,200
0.4323527061981932,94,200
0.4536856378558985,92,200
0.4884097550073047,97,200
0.4702664998876216,98,200
0.5433363194541007,87,200
0.5794103018664527,83,200
0.4675183401282351,93,200
0.5048506734011733,91,200
0.5093179617941019,188,400
0.5073421551043034,185,400
0.5315165018779804,181,400
0.3398044875786778,177,400
0.5382312096538644,174,400
0.4980736550305623,193,400
0.5358118466160805,179,400
0.4978436806430548,192,400
0.5060383236125741,194,400
0.5311879364178973,184,400
0.5525742499165807,171,400
0.5069734058123446,195,400
0.5342407092274524,175,400
0.496214279334951,195,400
0.5194643139779089,182,400
0.494288609772964,187,400
0.5593726451257769,173,400
0.5195064326698113,190,400
0.4767207346683058,199,400
0.5277301935328911,180,400
0.5247890788935243,183,400
0.4907685373715788,185,400
0.4688624003710798,179,400
0.4536873324529786,193,400
0.5138687724196687,176,400
0.5251927852498799,183,400
0.5186289803007246,188,400
0.5205703259880947,180,400
0.514817455192742,183,400
0.469937917968295,197,400
1.0,398,800
1.0,392,800
1.0,395,800
1.0,400,800
1.0,393,800
1.0,382,800
1.0,383,800
1.0,400,800
1.0,400,800
1.0,387,800
1.0,390,800
1.0,391,800
1.0,385,800
1.0,390,800
1.0,393,800
1.0,390,800
0.5332991339803108,380,800
0.5347547493060794,377,800
1.0,396,800
1.0,393,800
1.0,393,800
1.0,383,800
0.5147899298276022,385,800
0.5230970665991033,386,800
1.0,388,800
0.5104344965568477,389,800
1.0,383,800
1.0,383,800
1.0,402,800
1.0,389,800
