accuracy,failures,budget
0.4986963275316569,35,50
0.4840258504446787,38,50
0.5010206054694402,38,50
0.5115015248218595,35,50
0.4293690785724821,36,50
0.5705641375920891,31,50
0.5339987314448988,33,50
0.4749772022193872,36,50
0.6072304794629038,27,50
0.4794785770857531,36,50
0.4716497219463477,36,50
0.5106074379052525,35,50
0.4628480341261816,37,50
0.4768805614133367,33,50
0.5264707889457421,35,50
0.5082070283561544,32,50
0.4930863791826436,35,50
0.4420148213211816,39,50
0.5205834987964608,32,50
0.4867738468010871,35,50
0.4940408898506967,30,50
0.4430454052032242,36,50
0.489091619628937,38,50
0.5162767163516668,35,50
0.51853877252299,34,50
0.4097823998559726,33,50
0.3071128040474761,43,50
0.526102707614366,35,50
0.4979902994610323,33,50
0.4447729021027901,35,50
0.4722032469986116,73,100
0.5503642151996696,69,100
0.4989359170948308,71,100
0.525784097845206,66,100
0.4555725273056272,75,100
0.4804812785199428,67,100
0.5274819547161305,66,100
0.5035973726096243,68,100
0.4860530591805239,71,100
0.5132399755505086,67,100
0.5332874280975173,66,100
0.51330081563368,67,100
0.5036170973101509,65,100
0.489730930940381,71,100
0.4541561344771657,65,100
0.468860313575394,73,100
0.4206811056031102,75,100
0.4550093568945192,72,100
0.4100550544369038,69,100
0.4948555864662284,70,100
0.4852183191336678,72,100
0.5118104081640213,67,100
0.4749955568840623,73,100
0.5557382068580999,67,100
0.566751110144269,62,100
0.5370676838614945,62,100
0.4728100616169127,70,100
0.4228519801488209,68,100
0.5143806274487005,65,100
0.5182491216373477,66,100
0.4302407930010536,138,200
0.483495101558245,134,200
0.4988207141531324,138,200
0.4592587380608893,139,200
0.4568629213132454,135,200
0.4909092623887673,138,200
0.5066057255030308,135,200
0.5657348270812251,119,200
0.4964801109515002,133,200
0.5120555656883891,127,200
0.5653525963434614,124,200
0.4938950176009785,138,200
0.4772351752944539,131,200
0.5047273240464605,129,200
0.5413491594022537,124,200
0.4521075004000111,136,200
0.495993373789789,131,200
0.5418101732870466,122,200
0.5106583261325734,126,200
0.5202059568792446,124,200
0.4977959513505057,133,200
0.512710447419386,135,200
0.4792723443776692,135,200
0.4403867508591915,141,200
0.498588751078984,138,200
0.5228673351259894,131,200
0.5190499879116847,134,200
0.4573766170651802,135,200
0.4742544977620683,138,200
0.5077344395162364,134,200
0.5273777509864138,240,400
0.5092035255572276,259,400
0.4953005972618075,263,400
0.4995554081581066,260,400
0.5095815588625583,246,400
0.4691109353983232,272,400
0.4696753169094396,265,400
0.5118505147967027,254,400
0.4808580779695678,250,400
0.4895929701011255,262,400
0.5248055999361017,247,400
0.5059963993879242,252,400
0.5084695695958821,257,400
0.5066313906069941,255,400
0.4621412958284948,263,400
0.5087936795513575,255,400
0.4989260176269658,248,400
0.5317580807046296,238,400
0.4942177342637683,254,400
0.5254633971225606,247,400
0.4987469325692517,252,400
0.484071599758489,259,400
0.4928290898788684,257,400
0.5093079393438424,250,400
0.52369027004697,250,400
0.4886198515952337,260,400
0.512826554357026,252,400
0.4963657852204197,259,400
0.5315002102237784,244,400
0.4746695315254972,264,400
1.0,428,800
0.5052940668235679,437,800
0.4991326210582306,447,800
0.5066097405949206,440,800
1.0,421,800
0.4999815595149304,442,800
1.0,422,800
0.5045860383132572,437,800
0.4973622372262335,438,800
1.0,446,800
1.0,420,800
1.0,444,800
0.500042816468289,439,800
0.5086815941899618,432,800
1.0,438,800
0.5080971088147166,433,800
1.0,431,800
1.0,430,800
0.5026569824761424,427,800
0.5128527183456723,438,800
1.0,433,800
0.4943452782462035,438,800
0.4932785910126278,446,800
0.5155231092483032,441,800
0.5070775355463623,424,800
0.5081598520539041,432,800
0.5022035162874685,429,800
0.5128553314428248,438,800
0.4945919854705464,437,800
1.0,448,800
