accuracy,failures,budget
0.9896106328934982,1,50
0.9899595160631892,1,50
0.9883223355164924,1,50
0.9864709672135252,1,50
0.9707940340405894,2,50
0.9869504029057596,1,50
0.9887415927411076,1,50
1.0,0,50
0.9806425738499884,2,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
0.9611684488028386,3,50
1.0,0,50
1.0,0,50
0.9861270275749248,1,50
0.9876897304474686,1,50
0.9889505811638196,1,50
0.9873390145270596,1,50
0.9876432565157984,1,50
0.9750568208794632,2,50
0.975090821833934,2,50
0.9876535265061952,1,50
0.972346198653242,2,50
0.9783895935312904,2,50
1.0,0,50
0.9837665049329491,1,50
1.0,0,50
1.0,0,100
0.9827683549824178,3,100
1.0,4,100
1.0,0,100
0.994148056649524,1,100
1.0,0,100
0.9889905235422392,2,100
0.9911596519244652,2,100
0.9950400916365678,1,100
0.9818026293152404,3,100
0.981232668405548,3,100
0.9824104499245352,3,100
1.0,0,100
0.9947866097750953,1,100
0.9903875566408554,1,100
1.0,0,100
0.993944715293419,1,100
0.9959734402448348,1,100
0.9747959316183016,4,100
0.9899007874246144,2,100
0.9931376261196676,1,100
0.9762796046370884,4,100
1.0,0,100
1.0,0,100
0.9738855895233456,4,100
0.9794608341884408,3,100
1.0,0,100
0.9887369042509656,2,100
0.9910568499952436,2,100
0.9845644321834196,3,100
1.0,5,200
1.0,5,200
1.0,2,200
1.0,4,200
1.0,3,200
1.0,4,200
1.0,1,200
1.0,1,200
1.0,2,200
1.0,3,200
1.0,3,200
1.0,5,200
1.0,6,200
1.0,5,200
1.0,7,200
1.0,8,200
1.0,5,200
1.0,3,200
1.0,5,200
1.0,4,200
1.0,5,200
1.0,5,200
1.0,5,200
0.993247319454317,3,200
1.0,0,200
1.0,1,200
1.0,4,200
1.0,5,200
1.0,3,200
1.0,5,200
1.0,8,400
1.0,6,400
1.0,10,400
1.0,9,400
1.0,7,400
1.0,8,400
1.0,10,400
1.0,10,400
1.0,8,400
1.0,7,400
1.0,6,400
1.0,8,400
1.0,8,400
1.0,6,400
1.0,8,400
1.0,8,400
1.0,5,400
1.0,9,400
1.0,10,400
1.0,6,400
1.0,5,400
1.0,5,400
1.0,6,400
1.0,8,400
1.0,3,400
1.0,6,400
1.0,7,400
1.0,9,400
1.0,6,400
1.0,6,400
1.0,11,800
1.0,10,800
1.0,11,800
1.0,10,800
1.0,10,800
1.0,12,800
1.0,10,800
1.0,9,800
1.0,12,800
1.0,10,800
1.0,11,800
1.0,10,800
1.0,11,800
1.0,11,800
1.0,9,800
1.0,9,800
1.0,11,800
1.0,11,800
1.0,10,800
1.0,10,800
1.0,8,800
1.0,8,800
1.0,11,800
1.0,11,800
1.0,11,800
1.0,12,800
1.0,12,800
1.0,12,800
1.0,11,800
1.0,10,800
