accuracy,failures,budget
0.9408275800728984,3,50
0.9365699944043552,3,50
0.8912314223224709,5,50
0.9178723627763642,4,50
0.8682664041467939,6,50
0.9399911181609522,3,50
0.9603634150614306,2,50
0.917405426067982,4,50
0.9612089636659352,2,50
0.915216733382064,4,50
0.8800800845999674,6,50
0.9208733875317964,4,50
0.8817181263557083,6,50
0.9000137478811372,3,50
0.959769740577214,2,50
0.8627504951199987,6,50
0.8975526672759554,5,50
0.9180191732410898,4,50
0.9547195502703472,2,50
0.96081088242531,2,50
0.9597957368117012,2,50
0.9612879952904532,2,50
0.9576805969043044,2,50
0.8111183918199137,5,50
0.9600767738572488,2,50
0.9393106011124756,3,50
0.9201064380176952,4,50
0.9578044727978208,2,50
0.9340494387665504,3,50
0.9564941416629078,2,50
0.9240796036981914,7,100
0.9444953694650712,3,100
0.8718429838578081,8,100
0.9019763751696496,9,100
0.90770893423437,9,100
0.9524230787853172,4,100
0.9229729745032292,7,100
0.9512280443937554,4,100
0.9066408196150534,7,100
0.8793263507006889,7,100
0.910004235262798,9,100
0.9020677355111218,9,100
0.9368878288624432,6,100
0.9105043770509876,8,100
0.9176851624122028,8,100
0.8972866354466318,9,100
0.9200075650793382,7,100
0.862184050953781,9,100
0.9386297135286088,6,100
0.924633874767956,5,100
0.874872416225921,8,100
0.9035955972158132,9,100
0.9567559615502188,4,100
0.8919728630776014,6,100
0.9587242704085648,4,100
0.9393189106756272,5,100
0.9064459914660232,8,100
0.8737836540005285,12,100
0.9333560052262448,6,100
0.9584504214454204,4,100
0.9076786072892904,17,200
0.927303758379757,12,200
0.8927218052901548,15,200
0.9325002366453924,13,200
0.9268293956235848,13,200
0.7290614267473875,17,200
0.8902918243418083,17,200
0.9008481312898976,16,200
0.9488048498940278,10,200
0.9264245321983988,14,200
0.9025941275179052,15,200
0.9374731420898148,12,200
0.939462579769818,12,200
0.9191778576643984,11,200
0.9211240537759482,15,200
0.9284408715493688,12,200
0.933384400258822,12,200
0.9222182062615664,14,200
0.9199094031565976,14,200
0.8969206758809789,15,200
0.937141445714576,12,200
0.9155239603356716,16,200
0.9088824551155192,17,200
0.8960419474744017,19,200
0.9097619369250922,13,200
0.9122146658969372,17,200
0.90807442486891,17,200
0.9396467129018902,12,200
0.8987959469462871,19,200
0.9203600646458228,12,200
0.8978141083580451,31,400
0.912207875628798,29,400
0.9218580103511932,29,400
0.9416701228442586,23,400
0.911549178172199,32,400
0.917903631259606,28,400
0.9210039767247664,27,400
0.9186230700226942,28,400
0.9031944080323124,34,400
0.926152927166159,27,400
0.9103480324851212,29,400
0.941258560394733,21,400
0.92917434307771,28,400
0.889658769022184,36,400
0.9143705274729615,29,400
0.9243025500680514,24,400
0.9382611876964306,24,400
0.9402191959090728,23,400
0.9213000533127624,28,400
0.9203135049892636,27,400
0.9267967652922904,28,400
0.9154060575441526,30,400
0.9248395959123396,30,400
0.9149012063805192,33,400
0.9169345179791822,32,400
0.9250826918257952,30,400
0.9195538863606142,31,400
0.9403484602054644,23,400
0.9252824460500664,24,400
0.9094738268969048,32,400
0.9372819859060906,49,800
0.9287401156345686,58,800
0.9301390776395472,54,800
0.933008412235992,52,800
0.9154002575226076,59,800
0.9396881389082612,49,800
0.9193702357752014,59,800
0.9301234270283404,50,800
0.9282766353836172,55,800
0.9258140951551206,53,800
0.9289369245949398,56,800
0.9371645175934642,50,800
0.913979590032901,55,800
0.9119434674378644,62,800
0.912631809700104,59,800
0.9245720775657164,54,800
0.9226677908784616,55,800
0.9274520712220552,54,800
0.9284499605164404,53,800
0.9296376246066906,54,800
0.9197470240416968,59,800
0.9256419539460594,55,800
0.9300191617494484,52,800
0.9245221747611392,56,800
0.92455646435583,52,800
0.9360397785382164,49,800
0.9110695333837188,58,800
0.9383947333717224,48,800
0.9252009076913418,56,800
0.8990519756256945,61,800
