accuracy,failures,budget
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
0.9894822247472728,1,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
0.9883148477969737,1,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
0.9888865338380932,1,100
1.0,0,100
1.0,0,100
1.0,0,100
0.988269154659449,1,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
0.9941615636803603,1,200
1.0,0,200
0.9948594949885082,1,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
0.9941594979679148,1,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
0.9942020792463852,1,200
1.0,0,400
1.0,0,400
1.0,0,400
1.0,0,400
0.9981115897032748,1,400
1.0,0,400
1.0,0,400
0.9974926242430056,1,400
1.0,0,400
0.99749471141636,1,400
1.0,0,400
1.0,0,400
1.0,0,400
1.0,0,400
1.0,0,400
0.996820264131549,1,400
0.997471667945889,1,400
0.9942866024766362,2,400
1.0,0,400
0.9974809481069468,1,400
1.0,0,400
1.0,0,400
1.0,0,400
0.996819784592234,1,400
1.0,0,400
1.0,0,400
1.0,0,400
0.9981288430640562,1,400
1.0,0,400
1.0,0,400
0.9921936685867992,7,800
0.9965821335678088,3,800
0.989010989010989,9,800
0.9960427372237712,4,800
0.9978021978021978,2,800
0.9944017707386252,5,800
0.994271359600152,5,800
0.9931846548838472,6,800
0.9965973699133028,3,800
0.996043097836786,4,800
0.9944023257857412,5,800
0.9967032967032968,3,800
0.9925465998029952,6,800
0.9967032967032968,3,800
0.9989010989010988,1,800
0.9956043956043956,4,800
0.995489938966238,4,800
0.9932925517320336,6,800
0.992500512565653,6,800
0.993287151962958,6,800
0.9978021978021978,2,800
0.9942792643631504,5,800
0.9956043956043956,4,800
0.9900010608379411,9,800
0.9899968053225924,9,800
0.9918679790373488,6,800
0.9959405667002154,3,800
0.9972527472527472,3,800
0.993956043956044,6,800
0.9977096171450488,2,800
