accuracy,failures,budget
0.8622949686704607,13,50
0.9623736601635232,4,50
0.8538006157764899,13,50
0.8915386844857318,10,50
0.8935418191785843,10,50
0.8986675177289968,9,50
0.8442523478125794,11,50
0.908226286138021,9,50
0.9064407920264044,9,50
0.9488960417380364,5,50
0.8102409184765174,16,50
0.9452526818308586,5,50
0.8915353978043081,10,50
0.8963032782451162,11,50
0.859699842601991,12,50
0.8416184981588047,14,50
0.9384541353378272,6,50
0.8601384101094522,12,50
0.9020274693572566,9,50
0.8570898707812091,12,50
0.9003530458893391,8,50
0.8539611534957847,13,50
0.878629947158924,11,50
0.9349382619249073,5,50
0.8899339563785611,10,50
0.8891298292293728,10,50
0.9310753747806946,6,50
0.9011544592112424,8,50
0.8927042765271673,8,50
0.9054751984882572,8,50
0.9070132004553592,18,100
0.8983002249265586,17,100
0.8776887595239252,18,100
0.8784746517789626,19,100
0.9254358020126532,15,100
0.880065377480367,18,100
0.9166800323348796,16,100
0.8839511091161927,16,100
0.8644788945952478,23,100
0.8746641508099885,20,100
0.8904243878106788,21,100
0.8995676747489876,18,100
0.93459298474538,11,100
0.8596358048522096,25,100
0.8722423956258559,24,100
0.8759534237096201,21,100
0.8881694299836763,21,100
0.8674002810805965,21,100
0.912554069386512,15,100
0.9255113342223842,15,100
0.8632664926636631,24,100
0.8943792810739778,18,100
0.90745630809818,14,100
0.9157912349442612,16,100
0.9248199095741372,14,100
0.8801491118436693,21,100
0.8983076315641095,12,100
0.8872909668442159,21,100
0.923490324824956,16,100
0.9081417829569716,16,100
0.9129436769813282,32,200
0.8808596057006546,40,200
0.8880491318996941,35,200
0.9165135965563516,26,200
0.8756987913778731,41,200
0.8975863925125327,38,200
0.9002945394257318,34,200
0.9045476208711762,33,200
0.8910702130839372,37,200
0.941766243984198,23,200
0.9231499980883864,26,200
0.8951920414062075,31,200
0.9011356788759044,38,200
0.916970620796496,30,200
0.914515055498874,29,200
0.8509085618932424,42,200
0.8719365287076949,43,200
0.9100723011579204,31,200
0.915840882467044,32,200
0.8845056931431661,43,200
0.9239528636752676,29,200
0.8904747139124106,39,200
0.8996707066716821,32,200
0.8936437383630963,36,200
0.9015456253178752,34,200
0.9221838046257445,29,200
0.9269231866682366,25,200
0.876397507548184,46,200
0.8864598223866917,39,200
0.8618573526204931,40,200
0.90359203038287,61,400
0.9009630792961192,67,400
0.9189672843620056,55,400
0.8862276109275589,70,400
0.8806358055499139,75,400
0.8822075794876892,76,400
0.897615734937994,66,400
0.8986809771517849,67,400
0.8996936860964306,66,400
0.9212563465049116,51,400
0.8868580772313239,75,400
0.9096684141833206,60,400
0.8699922720159897,82,400
0.9107164698577604,59,400
0.8979651049829753,70,400
0.8947233843791715,66,400
0.8947331100814586,68,400
0.9009175089252304,65,400
0.908465370727276,67,400
0.9057826809473648,64,400
0.8853142573820343,78,400
0.9127735213644856,60,400
0.8906685779812289,72,400
0.8857468666210714,68,400
0.9048491401079254,64,400
0.9064528441788072,64,400
0.9124459894333334,56,400
0.9023305693557728,60,400
0.8847909642438078,75,400
0.8731540619850315,78,400
0.8958911477404873,124,800
0.8910241869397137,135,800
0.8826828724327573,142,800
0.902807106467702,118,800
0.907969468545289,114,800
0.9129357888194636,98,800
0.9020602078983168,125,800
0.8892333137901912,137,800
0.901278946219876,114,800
0.8957745288736607,124,800
0.909190360732945,112,800
0.8872219188759138,134,800
0.8992725659007187,123,800
0.910667938978094,107,800
0.8836765575859735,141,800
0.8977925232547149,119,800
0.9052074961013704,122,800
0.9068116551977848,118,800
0.8976139387803258,125,800
0.8926636876120705,125,800
0.8931356612821885,128,800
0.9079059088358786,109,800
0.9040056520639104,120,800
0.8949572905555113,130,800
0.8920444281523578,127,800
0.9014638551194312,123,800
0.9069775484377346,110,800
0.9011227517378656,124,800
0.9078394831338882,112,800
0.8883292046282486,137,800
