accuracy,failures,budget
1.0,0,50
0.978222610347042,1,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
0.9781584709159368,1,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
0.978215316230344,1,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
0.9788500389372252,1,50
0.9769138452435512,1,50
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
0.9886195843985496,1,100
1.0,0,100
0.9900801605646654,1,100
0.9893118147346868,1,100
0.9883692883091796,1,100
1.0,0,100
1.0,0,100
0.9906639541767596,1,100
1.0,0,100
1.0,0,100
1.0,0,100
0.989428508482094,1,100
1.0,0,100
0.9892700965292514,1,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
0.989678405200576,1,100
1.0,0,100
1.0,0,100
0.9892024370203992,1,100
0.994267318538068,1,200
1.0,0,200
1.0,0,200
0.9942622794556084,1,200
0.9953124411257094,1,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
0.9942458216552446,1,200
1.0,0,200
0.9942191407156504,1,200
1.0,0,200
0.995061046900783,1,200
0.9942057063759836,1,200
1.0,0,200
1.0,0,200
0.9942773420271428,1,200
1.0,0,200
1.0,0,200
0.9945435394670664,1,200
1.0,0,200
0.9893982315082256,2,200
0.9951640182293668,1,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
0.9895609718325968,2,200
0.9945650244201444,1,200
0.9972012346656964,1,400
0.9953806523315044,2,400
1.0,0,400
0.9941124092369936,2,400
0.9984803139614924,1,400
0.9976750297449896,1,400
0.9984296822776924,1,400
0.9971302090415995,1,400
1.0,0,400
0.9977261694927404,1,400
0.997149885582584,1,400
0.992238647781392,3,400
0.9973039413419906,1,400
0.9980208480979827,1,400
1.0,0,400
0.9941719957680047,2,400
1.0,0,400
0.99496399603422,2,400
0.9922501598500836,3,400
1.0,0,400
0.9973443983248392,1,400
0.9972583153257462,1,400
0.9942216722321032,2,400
0.9980945619820032,1,400
0.997331556777462,1,400
1.0,0,400
1.0,0,400
0.989764602550884,4,400
0.9912483425277396,3,400
0.9936505660244286,2,400
0.9977457417881616,2,800
0.996152279015089,3,800
0.9984854578855956,1,800
0.9988626759720396,1,800
0.9947276204777884,4,800
0.9984539916478586,1,800
0.9973152781492248,2,800
0.9961430133456226,3,800
0.9957706972005133,3,800
0.9961491329089196,3,800
0.9972991243447744,2,800
1.0,0,800
1.0,2,800
0.9942250443148736,4,800
0.9973601482681588,2,800
0.9973188109178706,2,800
1.0,0,800
0.9942424373505984,4,800
0.9957076887525408,3,800
0.99848121654653,1,800
1.0,2,800
0.9972865127420012,2,800
0.9988293933979866,1,800
1.0,0,800
0.998526197320174,1,800
1.0,3,800
0.99460421839331,4,800
0.9957574524012632,3,800
0.9988855596622324,1,800
0.99847762612973,1,800
