accuracy,failures,budget
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
0.9771156732131306,1,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
0.9769184100610372,1,50
0.9780212894972976,1,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,50
1.0,0,100
1.0,0,100
1.0,0,100
0.989520055182154,1,100
0.98917250774915,1,100
0.9891524752401436,1,100
0.9852957485920129,1,100
0.9896193674435922,1,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
0.9888892795947304,1,100
0.9894585309707966,1,100
0.9893097200271,1,100
1.0,0,100
1.0,0,100
0.9895661286627996,1,100
0.977278452280327,2,100
1.0,0,100
0.9892056576829578,1,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,100
1.0,0,200
0.9944396159991888,1,200
1.0,0,200
1.0,0,200
0.9946346035556092,1,200
0.9944381766066605,1,200
1.0,0,200
1.0,0,200
0.9890999336287184,2,200
1.0,0,200
0.98939767230845,2,200
0.9947647466031848,1,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
0.9893347076340746,2,200
1.0,0,200
0.9946903206678444,1,200
1.0,0,200
1.0,0,200
0.9946259518121664,1,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
1.0,0,200
0.9946249304187212,1,200
0.9913663931964676,3,400
1.0,0,400
1.0,0,400
0.9970730166835466,1,400
0.9941906148042629,2,400
1.0,0,400
0.9972551983535964,1,400
1.0,0,400
1.0,0,400
0.997094055863677,1,400
1.0,0,400
0.9948058365954664,2,400
0.9972628600016288,1,400
0.9975866234962047,1,400
0.9970240176447648,1,400
1.0,0,400
0.9972524949711228,1,400
0.9947108306197986,2,400
1.0,0,400
0.9972300002352148,1,400
0.9971276390754624,1,400
0.9974117498493628,1,400
0.9970529346926092,1,400
0.9972981674236708,1,400
0.994843697005406,2,400
0.9946999535128938,2,400
1.0,0,400
0.9972976824379596,1,400
1.0,0,400
1.0,0,400
0.997516472915166,2,800
0.9973581087503408,2,800
0.9957281440467014,3,800
0.9986351373786102,1,800
0.99437250367287,4,800
0.9973398430348848,2,800
0.997174612309706,2,800
0.9986715119427124,1,800
0.9959086546245404,3,800
0.9986766188459044,1,800
0.99481836303316,4,800
0.9960007226381802,3,800
0.992498354666934,5,800
0.9974131581186346,2,800
0.9987187967572048,1,800
1.0,0,800
0.9987739376120772,1,800
1.0,0,800
0.9973227624226484,2,800
0.9972611754141406,2,800
0.9986059681611824,1,800
0.9959588150034884,3,800
1.0,0,800
0.9893606649503078,8,800
0.998683487644623,1,800
0.9986758236487338,1,800
0.9985743892118392,1,800
0.9942805141031316,4,800
0.9985095942886906,1,800
0.9986744451739796,1,800
