accuracy,failures,budget
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,34.0,50
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,69.0,100
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,137.0,200
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,272.0,400
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
0.88962,543.0,800
