accuracy,failures,budget
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,50.0,50
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,100.0,100
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,200.0,200
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,400.0,400
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
0.88962,800.0,800
