accuracy,failures,budget
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,23.0,50
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,45.0,100
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,90.0,200
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,181.0,400
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
0.88962,362.0,800
