accuracy,failures,budget
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,40.0,50
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,81.0,100
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,158.0,200
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,316.0,400
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
0.88962,634.0,800
