accuracy,failures,budget
0.5029648590055914,15.0,50
0.3580129419179432,22.0,50
0.5710598691527178,17.0,50
0.3251089307343855,17.0,50
0.3876374477148907,23.0,50
0.5448267481134179,19.0,50
0.49890671101163697,20.0,50
0.6199045039531277,17.0,50
0.5345481080753083,18.0,50
0.5825233566333277,18.0,50
0.5690768889163154,20.0,50
0.3439766423251075,21.0,50
0.4657974615004753,20.0,50
0.6681459239767665,14.0,50
0.2420564607915261,27.0,50
0.5632759468466098,17.0,50
0.5381986457848089,15.0,50
0.4686334080431638,19.0,50
0.37510451869694983,20.0,50
0.4882697810350092,15.0,50
0.44193626522948937,20.0,50
0.5159689779974579,21.0,50
0.41727739475015235,22.0,50
0.582000719024049,14.0,50
0.5065136347761675,20.0,50
0.4391170644811624,21.0,50
0.590086836323811,17.0,50
0.5572429600513984,20.0,50
0.6126682102069718,18.0,50
0.4778335993235663,15.0,50
,15.0,50
Written: 0.3580129419179432,22.0,50
Written: 0.5710598691527178,17.0,50
Written: 0.3251089307343855,17.0,50
Written: 0.3876374477148907,23.0,50
Written: 0.5448267481134179,19.0,50
Written: 0.49890671101163697,20.0,50
Written: 0.6199045039531277,17.0,50
Written: 0.5345481080753083,18.0,50
Written: 0.5825233566333277,18.0,50
Written: 0.5690768889163154,20.0,50
Written: 0.3439766423251075,21.0,50
Written: 0.4657974615004753,20.0,50
Written: 0.6681459239767665,14.0,50
Written: 0.2420564607915261,27.0,50
Written: 0.5632759468466098,17.0,50
Written: 0.5381986457848089,15.0,50
Written: 0.4686334080431638,19.0,50
Written: 0.37510451869694983,20.0,50
Written: 0.4882697810350092,15.0,50
Written: 0.44193626522948937,20.0,50
Written: 0.5159689779974579,21.0,50
Written: 0.41727739475015235,22.0,50
Written: 0.582000719024049,14.0,50
Written: 0.5065136347761675,20.0,50
Written: 0.4391170644811624,21.0,50
Written: 0.590086836323811,17.0,50
Written: 0.5572429600513984,20.0,50
Written: 0.6126682102069718,18.0,50
Written: 0.4778335993235663,15.0,50
Results successfully written to: Results/Classification/SUPS/SSTIMDB3000AuxDS_dsa_50.txt,,50
0.6358302174775705,29.0,100
0.4750162598300227,37.0,100
0.3718122692053466,44.0,100
0.5799157246998987,35.0,100
0.4596140515323086,38.0,100
0.5435328319945678,35.0,100
0.5190071100260942,37.0,100
0.535394500003809,35.0,100
0.25174928109767947,36.0,100
0.6198573992277296,27.0,100
0.4755934914033916,36.0,100
0.5408883496615124,35.0,100
0.4618673814345622,40.0,100
0.5288878982567942,37.0,100
0.37995692400587056,43.0,100
0.3930213830496071,41.0,100
0.25443351401802317,46.0,100
0.42036926414412334,37.0,100
0.6039291828977236,28.0,100
0.40464720194238035,45.0,100
0.6666875784383481,24.0,100
0.593800025822213,31.0,100
0.4423832928602587,46.0,100
0.6727022391727652,27.0,100
0.581964384327724,33.0,100
0.3921374562193526,40.0,100
0.49921915519144977,37.0,100
0.5274078842365599,33.0,100
0.4408329620733511,38.0,100
0.29717531637424277,47.0,100
,29.0,100
