accuracy,failures,budget
0.521910646016818,48.0,50
0.5119504511421684,49.0,50
0.41393554162151647,50.0,50
0.4576378360215829,50.0,50
0.4578196977904442,50.0,50
0.5019902562675189,50.0,50
0.5119504511421684,49.0,50
0.5019902562675189,50.0,50
0.521910646016818,48.0,50
0.4235271514282555,50.0,50
0.5019902562675189,50.0,50
0.5019902562675189,50.0,50
0.4612760592916487,49.0,50
0.5019902562675189,50.0,50
0.4603110292549366,50.0,50
0.4551862409967372,50.0,50
0.5019902562675189,50.0,50
0.5119504511421684,49.0,50
0.5019902562675189,50.0,50
0.5019902562675189,50.0,50
0.5517912306407668,45.0,50
0.4518086625810611,50.0,50
0.5119504511421684,49.0,50
0.43621040752547036,48.0,50
0.521910646016818,48.0,50
0.5119504511421684,49.0,50
0.5119504511421684,49.0,50
0.5119504511421684,49.0,50
0.5019902562675189,50.0,50
0.5019902562675189,50.0,50
,48.0,50
Written: 0.5119504511421684,49.0,50
Written: 0.41393554162151647,50.0,50
Written: 0.4576378360215829,50.0,50
Written: 0.4578196977904442,50.0,50
Written: 0.5019902562675189,50.0,50
Written: 0.5119504511421684,49.0,50
Written: 0.5019902562675189,50.0,50
Written: 0.521910646016818,48.0,50
Written: 0.4235271514282555,50.0,50
Written: 0.5019902562675189,50.0,50
Written: 0.5019902562675189,50.0,50
Written: 0.4612760592916487,49.0,50
Written: 0.5019902562675189,50.0,50
Written: 0.4603110292549366,50.0,50
Written: 0.4551862409967372,50.0,50
Written: 0.5019902562675189,50.0,50
Written: 0.5119504511421684,49.0,50
Written: 0.5019902562675189,50.0,50
Written: 0.5019902562675189,50.0,50
Written: 0.5517912306407668,45.0,50
Written: 0.4518086625810611,50.0,50
Written: 0.5119504511421684,49.0,50
Written: 0.43621040752547036,48.0,50
Written: 0.521910646016818,48.0,50
Written: 0.5119504511421684,49.0,50
Written: 0.5119504511421684,49.0,50
Written: 0.5119504511421684,49.0,50
Written: 0.5019902562675189,50.0,50
Written: 0.5019902562675189,50.0,50
Results successfully written to: Results/Classification/SUPS/SSTIMDB3000AuxDS_lsa_50.txt,,50
0.5169305485794939,97.0,100
0.4935585122288281,98.0,100
0.48854844350677806,98.0,100
0.5069703537048442,99.0,100
0.5169305485794939,97.0,100
0.46902555839734017,98.0,100
0.5268907434541436,95.0,100
0.5069703537048442,99.0,100
0.5069703537048442,99.0,100
0.45970334673864666,99.0,100
0.45595385358043006,100.0,100
0.48457240787498546,99.0,100
0.5019902562675194,100.0,100
0.49681984917358957,96.0,100
0.5069703537048442,99.0,100
0.5019902562675194,100.0,100
0.49307035601537286,97.0,100
0.5219106460168187,96.0,100
0.5119504511421691,98.0,100
0.47689945942429,100.0,100
0.48986517190363144,98.0,100
0.5169305485794939,97.0,100
0.5119504511421691,98.0,100
0.5169305485794939,97.0,100
0.4760527806412248,96.0,100
0.5169305485794939,97.0,100
0.4948452693409564,97.0,100
0.5169305485794939,97.0,100
0.5019902562675194,100.0,100
0.5069703537048442,99.0,100
,97.0,100
Written: 0.4935585122288281,98.0,100
Written: 0.48854844350677806,98.0,100
Written: 0.5069703537048442,99.0,100
Written: 0.5169305485794939,97.0,100
Written: 0.46902555839734017,98.0,100
Written: 0.5268907434541436,95.0,100
Written: 0.5069703537048442,99.0,100
Written: 0.5069703537048442,99.0,100
Written: 0.45970334673864666,99.0,100
Written: 0.45595385358043006,100.0,100
Written: 0.48457240787498546,99.0,100
Written: 0.5019902562675194,100.0,100
Written: 0.49681984917358957,96.0,100
Written: 0.5069703537048442,99.0,100
Written: 0.5019902562675194,100.0,100
Written: 0.49307035601537286,97.0,100
Written: 0.5219106460168187,96.0,100
Written: 0.5119504511421691,98.0,100
Written: 0.47689945942429,100.0,100
Written: 0.48986517190363144,98.0,100
Written: 0.5169305485794939,97.0,100
Written: 0.5119504511421691,98.0,100
Written: 0.5169305485794939,97.0,100
Written: 0.4760527806412248,96.0,100
Written: 0.5169305485794939,97.0,100
Written: 0.4948452693409564,97.0,100
Written: 0.5169305485794939,97.0,100
Written: 0.5019902562675194,100.0,100
Written: 0.5069703537048442,99.0,100
Results successfully written to: Results/Classification/SUPS/SSTIMDB3000AuxDS_lsa_100.txt,,100
0.5144404998608298,195.0,200
0.5019902562675177,200.0,200
0.5019902562675177,200.0,200
0.492185563690151,196.0,200
0.49339219992469596,199.0,200
0.509460402423505,197.0,200
0.5002644329668346,197.0,200
0.49809069250362004,198.0,200
0.4651595192310525,195.0,200
0.4929325880462001,195.0,200
0.4959277140855738,198.0,200
0.49298119222073367,195.0,200
0.5293807921728043,189.0,200
0.509460402423505,197.0,200
0.4899891125993051,196.0,200
0.5044803049861801,199.0,200
0.4980620161406022,197.0,200
0.4894448578459032,200.0,200
0.49920006769833825,197.0,200
0.4990405956703593,197.0,200
0.49264517556864695,200.0,200
0.509460402423505,197.0,200
0.48737512318496745,197.0,200
0.5069703537048426,198.0,200
0.49163476671404827,195.0,200
0.4942199702610133,199.0,200
0.5119504511421673,196.0,200
0.5069703537048426,198.0,200
0.5119504511421673,196.0,200
0.49557196742193976,198.0,200
,195.0,200
Written: 0.5019902562675177,200.0,200
Written: 0.5019902562675177,200.0,200
Written: 0.492185563690151,196.0,200
Written: 0.49339219992469596,199.0,200
Written: 0.509460402423505,197.0,200
Written: 0.5002644329668346,197.0,200
Written: 0.49809069250362004,198.0,200
Written: 0.4651595192310525,195.0,200
Written: 0.4929325880462001,195.0,200
Written: 0.4959277140855738,198.0,200
Written: 0.49298119222073367,195.0,200
