accuracy,failures,budget
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
1.0,0.0,50
,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Written: 1.0,0.0,50
Results successfully written to: Results/Classification/SUPS/SSTIMDB3000AuxDS_similarity_50.txt,,50
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
1.0,0.0,100
,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Written: 1.0,0.0,100
Results successfully written to: Results/Classification/SUPS/SSTIMDB3000AuxDS_similarity_100.txt,,100
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
1.0,0.0,200
,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Written: 1.0,0.0,200
Results successfully written to: Results/Classification/SUPS/SSTIMDB3000AuxDS_similarity_200.txt,,200
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
1.0,0.0,400
,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Written: 1.0,0.0,400
Results successfully written to: Results/Classification/SUPS/SSTIMDB3000AuxDS_similarity_400.txt,,400
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
1.0,0.0,800
,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Written: 1.0,0.0,800
Results successfully written to: Results/Classification/SUPS/SSTIMDB3000AuxDS_similarity_800.txt,,800
