accuracy,failures,budget
0.9527666625169728,20.0,50
0.9096945963922104,26.0,50
0.9645817698971807,23.0,50
0.9312007003749773,21.0,50
0.9538894358873296,18.0,50
0.9529912843266467,22.0,50
0.9155105970549803,25.0,50
0.9680153141146574,20.0,50
0.8973498302029492,25.0,50
0.8033280936783297,26.0,50
0.9450607045431353,17.0,50
0.93201375677314,23.0,50
0.9758545087005394,18.0,50
0.9472595310786246,24.0,50
0.9586270007507166,20.0,50
0.8218113832352454,22.0,50
0.896051227090654,22.0,50
0.9483017633882638,19.0,50
0.9440976426165261,23.0,50
0.95579917643419,20.0,50
0.9023314125419544,22.0,50
0.9539790286290358,31.0,50
0.8341445137279787,22.0,50
0.9713480550591248,21.0,50
0.893956488677472,28.0,50
0.9695757563871386,21.0,50
0.9481202235154804,28.0,50
0.8793575880135068,21.0,50
0.955379722365365,13.0,50
0.9517174081109948,15.0,50
,20.0,50
Written: 0.9096945963922104,26.0,50
Written: 0.9645817698971807,23.0,50
Written: 0.9312007003749773,21.0,50
Written: 0.9538894358873296,18.0,50
Written: 0.9529912843266467,22.0,50
Written: 0.9155105970549803,25.0,50
Written: 0.9680153141146574,20.0,50
Written: 0.8973498302029492,25.0,50
Written: 0.8033280936783297,26.0,50
Written: 0.9450607045431353,17.0,50
Written: 0.93201375677314,23.0,50
Written: 0.9758545087005394,18.0,50
Written: 0.9472595310786246,24.0,50
Written: 0.9586270007507166,20.0,50
Written: 0.8218113832352454,22.0,50
Written: 0.896051227090654,22.0,50
Written: 0.9483017633882638,19.0,50
Written: 0.9440976426165261,23.0,50
Written: 0.95579917643419,20.0,50
Written: 0.9023314125419544,22.0,50
Written: 0.9539790286290358,31.0,50
Written: 0.8341445137279787,22.0,50
Written: 0.9713480550591248,21.0,50
Written: 0.893956488677472,28.0,50
Written: 0.9695757563871386,21.0,50
Written: 0.9481202235154804,28.0,50
Written: 0.8793575880135068,21.0,50
Written: 0.955379722365365,13.0,50
Written: 0.9517174081109948,15.0,50
Results successfully written to: Results/Classification/SUPS/SSTtestAuxDS_confidence_50.txt,,50
0.9284708071423609,41.0,100
0.9570118426084067,45.0,100
0.9488864556239058,45.0,100
0.9590404100966504,34.0,100
0.7395772652524779,44.0,100
0.9047253596750446,43.0,100
0.8834923040620006,55.0,100
0.9018080895575574,47.0,100
0.968848139915445,31.0,100
0.9597854203306209,46.0,100
0.949300782976537,43.0,100
0.9422755329497448,48.0,100
0.8528200078677074,46.0,100
