accuracy,failures,budget
0.9048373481029837,22.0,50
0.9548389942814396,17.0,50
0.906643764295678,25.0,50
0.9216857580937299,17.0,50
0.9114009064884803,16.0,50
0.9712989612290205,15.0,50
0.94058451332171,14.0,50
0.9250964057395724,20.0,50
0.8371230745102427,20.0,50
0.9595635366024788,13.0,50
0.9519664434362407,20.0,50
0.9163931330940688,16.0,50
0.9540224478527611,19.0,50
0.9568486572034787,15.0,50
0.9282186200371704,18.0,50
0.9564031060504508,17.0,50
0.9182615898594558,21.0,50
0.9503590178736525,15.0,50
0.9461634915323094,22.0,50
0.9572671974843694,12.0,50
0.9405997862419274,22.0,50
0.947978469074188,16.0,50
0.9496032361292948,15.0,50
0.9656813128878122,15.0,50
0.9171441671715639,11.0,50
0.961797031623321,19.0,50
0.8116415415747428,22.0,50
0.957293814617783,12.0,50
0.919942043727579,17.0,50
0.9464760990781077,15.0,50
,22.0,50
Written: 0.9548389942814396,17.0,50
Written: 0.906643764295678,25.0,50
Written: 0.9216857580937299,17.0,50
Written: 0.9114009064884803,16.0,50
Written: 0.9712989612290205,15.0,50
Written: 0.94058451332171,14.0,50
Written: 0.9250964057395724,20.0,50
Written: 0.8371230745102427,20.0,50
Written: 0.9595635366024788,13.0,50
Written: 0.9519664434362407,20.0,50
Written: 0.9163931330940688,16.0,50
Written: 0.9540224478527611,19.0,50
Written: 0.9568486572034787,15.0,50
Written: 0.9282186200371704,18.0,50
Written: 0.9564031060504508,17.0,50
Written: 0.9182615898594558,21.0,50
Written: 0.9503590178736525,15.0,50
Written: 0.9461634915323094,22.0,50
Written: 0.9572671974843694,12.0,50
Written: 0.9405997862419274,22.0,50
Written: 0.947978469074188,16.0,50
Written: 0.9496032361292948,15.0,50
Written: 0.9656813128878122,15.0,50
Written: 0.9171441671715639,11.0,50
Written: 0.961797031623321,19.0,50
Written: 0.8116415415747428,22.0,50
Written: 0.957293814617783,12.0,50
Written: 0.919942043727579,17.0,50
Written: 0.9464760990781077,15.0,50
Results successfully written to: Results/Classification/SUPS/SSTtestAuxDS_entropy_50.txt,,50
0.8624590185359653,41.0,100
0.9505586054231832,30.0,100
0.9119029650344467,48.0,100
0.9669808316041417,31.0,100
0.932607239921994,34.0,100
0.9302539730965415,33.0,100
0.9279030614420992,38.0,100
0.9386889532512125,44.0,100
0.9252985656770348,38.0,100
0.9482225042010256,36.0,100
0.9481935549373628,37.0,100
0.9428479003000738,41.0,100
0.9510617081243441,33.0,100
0.950862486333914,35.0,100
0.9011960300788221,41.0,100
0.9264185241892022,45.0,100
0.9506394329751462,33.0,100
0.9221360185600364,30.0,100
0.8982777648518665,31.0,100
0.9356744713370568,38.0,100
0.9750555308387624,29.0,100
0.9358355375238437,36.0,100
0.9177344806425238,36.0,100
0.9445718297416442,35.0,100
0.9384160168235146,38.0,100
0.9005104938220954,27.0,100
0.8555604621006796,41.0,100
0.9447146421955279,33.0,100
0.9616806759463007,30.0,100
0.9471599672520199,36.0,100
,41.0,100
Written: 0.9505586054231832,30.0,100
Written: 0.9119029650344467,48.0,100
Written: 0.9669808316041417,31.0,100
Written: 0.932607239921994,34.0,100
Written: 0.9302539730965415,33.0,100
Written: 0.9279030614420992,38.0,100
Written: 0.9386889532512125,44.0,100
Written: 0.9252985656770348,38.0,100
Written: 0.9482225042010256,36.0,100
Written: 0.9481935549373628,37.0,100
Written: 0.9428479003000738,41.0,100
Written: 0.9510617081243441,33.0,100
Written: 0.950862486333914,35.0,100
Written: 0.9011960300788221,41.0,100
Written: 0.9264185241892022,45.0,100
Written: 0.9506394329751462,33.0,100
Written: 0.9221360185600364,30.0,100
Written: 0.8982777648518665,31.0,100
Written: 0.9356744713370568,38.0,100
Written: 0.9750555308387624,29.0,100
Written: 0.9358355375238437,36.0,100
Written: 0.9177344806425238,36.0,100
Written: 0.9445718297416442,35.0,100
Written: 0.9384160168235146,38.0,100
Written: 0.9005104938220954,27.0,100
Written: 0.8555604621006796,41.0,100
Written: 0.9447146421955279,33.0,100
Written: 0.9616806759463007,30.0,100
Written: 0.9471599672520199,36.0,100
Results successfully written to: Results/Classification/SUPS/SSTtestAuxDS_entropy_100.txt,,100
0.9151656783388548,66.0,200
0.9474874411691689,60.0,200
0.9094805242916749,71.0,200
0.9239269879502667,73.0,200
0.9317461177295567,68.0,200
0.8703615363995609,78.0,200
0.8867850564019052,70.0,200
0.9421235747257838,67.0,200
0.9246926754433308,84.0,200
0.9132739150624051,75.0,200
0.9333190371549448,74.0,200
0.9001302502780748,77.0,200
0.9246839992709799,69.0,200
0.938569822097487,70.0,200
0.9042490864805425,82.0,200
0.9005318192487439,70.0,200
0.9308532527685563,67.0,200
0.9514708339857022,62.0,200
0.9323853842816103,83.0,200
0.9499377765607633,72.0,200
0.9440152543788075,61.0,200
0.9343120728592906,61.0,200
0.9368116499907326,77.0,200
0.9353164021427665,75.0,200
0.8584883762616164,60.0,200
0.952756365609472,64.0,200
0.9624439552907648,54.0,200
0.9035475594319556,76.0,200
0.9369148127051837,75.0,200
0.9414814806222153,65.0,200
,66.0,200
Written: 0.9474874411691689,60.0,200
Written: 0.9094805242916749,71.0,200
Written: 0.9239269879502667,73.0,200
Written: 0.9317461177295567,68.0,200
Written: 0.8703615363995609,78.0,200
Written: 0.8867850564019052,70.0,200
