accuracy,failures,budget
0.9263646433906406,42.0,50
0.9246114206142273,43.0,50
0.9193517522849874,46.0,50
0.9158453067321608,48.0,50
0.9158453067321608,48.0,50
0.9211049750614008,45.0,50
0.9263646433906406,42.0,50
0.9228581978378141,44.0,50
0.9246114206142273,43.0,50
0.917964760943421,42.0,50
0.9211049750614008,45.0,50
0.9263646433906406,42.0,50
0.9167263161024587,43.0,50
0.9228581978378141,44.0,50
0.9211049750614008,45.0,50
0.9298710889434673,40.0,50
0.9211049750614008,45.0,50
0.9158453067321608,48.0,50
0.9228581978378141,44.0,50
0.9263646433906406,42.0,50
0.9263646433906406,42.0,50
0.9246114206142273,43.0,50
0.9211049750614008,45.0,50
0.9193517522849874,46.0,50
0.9193517522849874,46.0,50
0.9211049750614008,45.0,50
0.9316243117198806,39.0,50
0.9281178661670539,41.0,50
0.9281178661670539,41.0,50
0.9246114206142273,43.0,50
,42.0,50
Written: 0.9246114206142273,43.0,50
Written: 0.9193517522849874,46.0,50
Written: 0.9158453067321608,48.0,50
Written: 0.9158453067321608,48.0,50
Written: 0.9211049750614008,45.0,50
Written: 0.9263646433906406,42.0,50
Written: 0.9228581978378141,44.0,50
Written: 0.9246114206142273,43.0,50
Written: 0.917964760943421,42.0,50
Written: 0.9211049750614008,45.0,50
Written: 0.9263646433906406,42.0,50
Written: 0.9167263161024587,43.0,50
Written: 0.9228581978378141,44.0,50
Written: 0.9211049750614008,45.0,50
Written: 0.9298710889434673,40.0,50
Written: 0.9211049750614008,45.0,50
Written: 0.9158453067321608,48.0,50
Written: 0.9228581978378141,44.0,50
Written: 0.9263646433906406,42.0,50
Written: 0.9263646433906406,42.0,50
Written: 0.9246114206142273,43.0,50
Written: 0.9211049750614008,45.0,50
Written: 0.9193517522849874,46.0,50
Written: 0.9193517522849874,46.0,50
Written: 0.9211049750614008,45.0,50
Written: 0.9316243117198806,39.0,50
Written: 0.9281178661670539,41.0,50
Written: 0.9281178661670539,41.0,50
Written: 0.9246114206142273,43.0,50
Results successfully written to: Results/Classification/SUPS/SSTtestAuxDS_lsa_50.txt,,50
0.9237348092260207,87.0,100
0.918039034193723,89.0,100
0.9237348092260207,87.0,100
0.9186582566142042,88.0,100
0.9193517522849873,92.0,100
0.9219815864496074,89.0,100
0.9184751408967807,93.0,100
0.9250519252993763,81.0,100
0.9237348092260207,87.0,100
