accuracy,failures,budget
0.8856781787501566,16.0,50
0.8754527398315073,16.0,50
0.9327870554749969,14.0,50
0.9017639452850309,15.0,50
0.9458223444274627,12.0,50
0.9119189727575909,17.0,50
0.9474062571232802,9.0,50
0.9203223528068221,19.0,50
0.935896006649864,16.0,50
0.8427691421895662,16.0,50
0.7293460787904291,21.0,50
0.9403385154786735,19.0,50
0.8408199517868897,21.0,50
0.9697255663656434,11.0,50
0.8602270577039604,21.0,50
0.943792175161742,15.0,50
0.9267451335737353,17.0,50
0.9548814867475789,11.0,50
0.9212240183575277,17.0,50
0.9424517717541551,18.0,50
0.9377866873833529,14.0,50
0.9331652855814773,17.0,50
0.9157106149848716,18.0,50
0.9263968849796951,19.0,50
0.9217582067753054,17.0,50
0.9422005180590293,13.0,50
0.9135250161110481,16.0,50
0.9222831835395144,16.0,50
0.9251658402967448,13.0,50
0.8104495823388682,16.0,50
,16.0,50
Written: 0.8754527398315073,16.0,50
Written: 0.9327870554749969,14.0,50
Written: 0.9017639452850309,15.0,50
Written: 0.9458223444274627,12.0,50
Written: 0.9119189727575909,17.0,50
Written: 0.9474062571232802,9.0,50
Written: 0.9203223528068221,19.0,50
Written: 0.935896006649864,16.0,50
Written: 0.8427691421895662,16.0,50
Written: 0.7293460787904291,21.0,50
Written: 0.9403385154786735,19.0,50
Written: 0.8408199517868897,21.0,50
Written: 0.9697255663656434,11.0,50
Written: 0.8602270577039604,21.0,50
Written: 0.943792175161742,15.0,50
Written: 0.9267451335737353,17.0,50
Written: 0.9548814867475789,11.0,50
Written: 0.9212240183575277,17.0,50
Written: 0.9424517717541551,18.0,50
Written: 0.9377866873833529,14.0,50
Written: 0.9331652855814773,17.0,50
Written: 0.9157106149848716,18.0,50
Written: 0.9263968849796951,19.0,50
Written: 0.9217582067753054,17.0,50
Written: 0.9422005180590293,13.0,50
Written: 0.9135250161110481,16.0,50
Written: 0.9222831835395144,16.0,50
Written: 0.9251658402967448,13.0,50
Written: 0.8104495823388682,16.0,50
Results successfully written to: Results/Classification/SUPS/imdb300AuxDS_entropy_50.txt,,50
0.8975867915482422,34.0,100
0.9101181715588009,36.0,100
0.9077646516512646,29.0,100
0.9231428013297367,29.0,100
0.8749977328606408,32.0,100
0.9061505014409499,35.0,100
0.8664734159534511,40.0,100
0.9328392287687117,25.0,100
0.8120539700349165,42.0,100
0.8845351285082447,30.0,100
0.8119156416797875,46.0,100
0.8484720215330426,31.0,100
0.9185996323343949,34.0,100
0.9055914074663504,33.0,100
0.8821112547917715,40.0,100
0.904696865116403,34.0,100
0.9243320407854911,32.0,100
0.9060204844111819,32.0,100
0.8107028872579343,34.0,100
0.9215557059911448,30.0,100
0.924895812983815,33.0,100
0.9366327397454849,31.0,100
0.871914998072442,37.0,100
0.9230167402182677,28.0,100
0.9407085285893103,26.0,100
0.8971147605467548,34.0,100
0.8683076667604201,38.0,100
0.9364602052915993,29.0,100
0.9153672708101104,34.0,100
0.9383240836263091,30.0,100
,34.0,100
Written: 0.9101181715588009,36.0,100
Written: 0.9077646516512646,29.0,100
Written: 0.9231428013297367,29.0,100
Written: 0.8749977328606408,32.0,100
Written: 0.9061505014409499,35.0,100
Written: 0.8664734159534511,40.0,100
Written: 0.9328392287687117,25.0,100
Written: 0.8120539700349165,42.0,100
Written: 0.8845351285082447,30.0,100
Written: 0.8119156416797875,46.0,100
Written: 0.8484720215330426,31.0,100
Written: 0.9185996323343949,34.0,100
Written: 0.9055914074663504,33.0,100
Written: 0.8821112547917715,40.0,100
Written: 0.904696865116403,34.0,100
Written: 0.9243320407854911,32.0,100
Written: 0.9060204844111819,32.0,100
Written: 0.8107028872579343,34.0,100
Written: 0.9215557059911448,30.0,100
Written: 0.924895812983815,33.0,100
Written: 0.9366327397454849,31.0,100
Written: 0.871914998072442,37.0,100
Written: 0.9230167402182677,28.0,100
Written: 0.9407085285893103,26.0,100
Written: 0.8971147605467548,34.0,100
Written: 0.8683076667604201,38.0,100
Written: 0.9364602052915993,29.0,100
Written: 0.9153672708101104,34.0,100
Written: 0.9383240836263091,30.0,100
Results successfully written to: Results/Classification/SUPS/imdb300AuxDS_entropy_100.txt,,100
0.9319986716651564,68.0,200
0.8703676084537063,66.0,200
0.9050082741166093,72.0,200
0.8388429110343186,65.0,200
0.9060865470499807,64.0,200
0.9119237350896428,67.0,200
0.8496365494907566,73.0,200
0.9136660645531323,66.0,200
0.8530560942633659,73.0,200
0.9030656040951899,61.0,200
0.9107021202726586,69.0,200
0.9081345333357048,68.0,200
0.9102638312189977,74.0,200
0.83102185247544,77.0,200
0.8955108037389268,59.0,200
0.8407726820335536,57.0,200
0.8398119522126619,75.0,200
0.8669824852461292,71.0,200
0.9051324928299533,58.0,200
0.8077433527977119,73.0,200
0.9066510405411525,63.0,200
0.9285905365706739,65.0,200
0.9328359207583322,66.0,200
0.9035212855339488,70.0,200
0.8927133173408419,71.0,200
0.8813546357825944,74.0,200
0.8898912361414101,74.0,200
0.8950242478737559,79.0,200
0.9225459108350308,62.0,200
