MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.06469494434725695,151,102,51,19,7,2,2,1,1,1
0.06751489317382275,155,101,56,26,10,6,4,2,2,0
0.07055771734582039,149,95,50,25,11,9,6,1,0,0
0.09234658446928735,158,112,56,24,13,7,4,1,1,1
0.09954473290902659,148,107,61,23,9,6,4,3,1,1
0.08680352859218168,164,126,66,24,6,5,5,3,2,0
0.12230967533579988,144,101,56,31,20,14,11,6,5,4
0.09222591669276171,158,111,60,28,15,9,8,3,2,1
0.08783416522448328,145,103,57,16,5,4,4,3,1,1
0.07906787696466039,144,107,64,23,12,6,5,4,1,1
0.09039861941688783,164,111,60,29,12,5,2,1,0,0
0.09406325358461604,160,113,64,27,19,9,6,2,2,0
0.1418927933222611,164,120,71,33,21,11,10,8,3,2
0.07571920393764368,162,121,67,19,7,5,3,1,1,1
0.08434816390843486,156,110,69,23,11,7,5,3,1,0
0.10227935920561498,159,112,61,32,13,11,5,3,1,1
0.08528558094029291,155,112,63,27,12,9,4,3,2,0
0.07116324563836317,153,104,64,28,14,6,3,1,1,0
0.10081003878899089,143,90,50,21,13,10,7,4,1,0
0.09768818764224399,159,111,65,33,20,17,11,8,4,3
0.07144934312010681,160,112,61,24,5,5,4,1,0,0
0.09596873268365845,152,103,60,32,14,11,7,5,4,4
0.08142609001758624,154,113,62,30,10,7,5,1,0,0
0.09572002097413054,158,107,61,25,17,10,7,3,2,0
0.0808737134620288,143,106,64,27,14,4,1,1,1,0
0.09915723078810265,166,109,65,29,14,7,6,4,2,1
0.08378217024376725,150,110,65,31,15,11,6,2,1,0
0.0833408917373226,149,102,62,21,9,7,3,3,2,0
0.07025462258848619,141,99,58,32,16,11,4,2,1,1
0.09113723792108185,152,94,52,27,11,10,9,6,3,3
