MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.06336034781810534,36,24,10,6,3,1,1,0,0,0
0.05966039366334203,39,23,15,5,0,0,0,0,0,0
0.09813458776177979,38,26,15,8,3,2,2,0,0,0
0.06852853878322562,36,26,14,8,4,2,2,2,1,1
0.11728819533729404,39,26,17,10,4,3,1,1,1,1
0.07330339005386148,41,25,12,5,1,1,1,1,1,1
0.10201698214138102,39,27,16,9,4,3,3,1,0,0
0.046972959844510366,41,23,11,1,1,1,1,0,0,0
0.08550732138885292,40,26,15,7,3,2,0,0,0,0
0.09654733793449807,36,23,14,8,5,3,2,1,0,0
0.07665787327288741,36,29,13,3,2,1,0,0,0,0
0.08270977760678708,36,23,13,4,3,2,0,0,0,0
0.08645853634222431,38,33,19,6,2,2,0,0,0,0
0.08694218976484641,37,28,18,6,1,1,0,0,0,0
0.06488801552623163,41,30,15,5,1,1,0,0,0,0
0.058780776560080884,36,28,15,7,4,3,1,1,0,0
0.09057017097426624,38,31,21,9,3,2,2,1,0,0
0.10585817995238908,31,24,15,9,4,2,1,1,1,0
0.09360158209820327,43,25,15,5,4,4,3,1,0,0
0.0659014091406839,38,28,17,6,2,1,1,1,1,1
0.09091328126828299,36,30,16,7,2,0,0,0,0,0
0.09514467610169097,42,28,20,7,7,5,1,0,0,0
0.08734651729398285,35,23,16,3,2,1,1,1,1,0
0.0846817576808786,38,20,14,9,4,2,2,0,0,0
0.07486800376573567,37,26,13,8,3,0,0,0,0,0
0.07251496901226724,40,21,14,5,2,1,1,0,0,0
0.17609652774407822,43,34,18,8,5,4,3,2,1,1
0.1142203595893731,45,37,19,9,4,3,2,2,1,0
0.0560424096228637,30,22,9,3,2,2,2,0,0,0
0.04130789395746754,32,21,12,6,1,1,1,0,0,0
