MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.15294997473660346,168,124,75,44,30,18,12,5,3,1
0.09879303987194374,161,126,70,34,26,15,9,6,3,0
0.11981852139571485,145,109,64,40,27,19,15,9,5,3
0.13431684487846945,152,112,71,49,33,20,12,9,4,4
0.11152898373613715,154,118,85,49,35,22,11,5,2,1
0.12809980258888412,144,104,74,48,33,23,8,5,4,2
0.1525662572429114,165,130,71,40,26,20,13,7,6,4
0.11272346217300135,155,113,68,40,25,13,9,2,1,1
0.13127731011993873,157,116,63,39,27,18,11,6,5,3
0.13011207409259948,160,116,80,46,32,22,15,9,6,1
0.13607023546420802,161,120,69,41,30,20,13,9,4,2
0.1330243545495387,151,119,70,40,26,20,15,7,3,2
0.1237405047511498,156,120,85,43,29,15,8,4,3,1
0.12808898398386154,157,120,83,46,26,15,12,8,6,3
0.13724377211026081,165,119,77,47,30,17,13,5,2,2
0.1343117135656422,164,129,81,47,28,20,18,11,5,2
0.1437987991747192,163,117,72,40,20,11,9,6,4,1
0.11161089966543042,153,100,71,44,15,11,7,3,1,1
0.11757346594182388,158,115,78,43,25,18,12,4,1,1
0.10004471157014573,154,116,70,39,25,16,8,3,1,1
0.15093893661942587,159,124,73,41,29,18,14,9,4,3
0.12197062916470736,157,114,70,40,27,15,9,5,1,0
0.16486929040920997,166,129,85,51,37,21,14,8,5,2
0.12030423262935415,159,123,75,44,24,13,7,5,3,1
0.11540754907837827,164,115,80,49,29,15,9,3,1,0
0.11464905892036324,155,113,75,47,31,19,9,6,3,2
0.09871022811374035,150,109,71,44,26,18,6,2,1,0
0.10341550703505833,154,118,69,34,23,15,10,7,4,1
0.1125099949913588,151,115,71,43,25,15,9,7,5,2
0.13398892828420478,151,117,78,47,27,16,10,6,4,2
