MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.10000234716506345,157,104,71,41,21,12,6,2,1,1
0.09035618884470972,146,109,67,38,20,7,3,1,1,0
0.08640837571191493,147,109,71,35,18,6,2,2,2,2
0.08609734739854294,155,101,68,33,18,8,5,2,1,0
0.10218660876147867,158,106,79,43,20,9,5,1,1,1
0.10448978137119479,148,105,63,40,20,10,6,2,2,1
0.0831211590225991,148,100,60,38,23,12,5,2,1,1
0.0860195202015433,156,100,68,31,21,11,3,1,1,1
0.06535619826485538,152,104,62,30,12,6,2,1,0,0
0.07960868888051718,159,112,65,31,14,5,2,1,0,0
0.07571299106654127,160,109,59,34,15,7,4,0,0,0
0.09728126701642754,156,114,78,39,14,10,3,1,1,0
0.08496265436639733,153,106,75,38,20,12,5,2,1,0
0.07641329997103058,152,109,71,37,16,6,3,1,1,0
0.09546851094059343,150,103,69,38,28,11,4,2,1,0
0.08018821379892888,153,97,61,33,19,8,3,0,0,0
0.08767281100278349,154,111,69,41,17,7,2,1,1,0
0.09536850899727306,151,106,70,38,20,9,1,0,0,0
0.10423718402834398,147,112,83,43,25,12,7,3,1,0
0.07793765748241006,148,103,66,31,13,8,3,1,1,0
0.08337990755478843,147,100,61,27,17,11,4,3,1,1
0.10465836610679484,161,116,78,42,21,11,6,2,1,1
0.0753238224753924,155,103,64,32,15,7,3,2,1,1
0.10340763760530254,162,114,66,37,14,6,3,2,1,0
0.08485037376529247,142,89,62,32,18,8,5,4,2,1
0.09387865448346391,154,105,70,45,22,10,4,3,2,2
0.09978320150906196,153,115,78,38,17,7,4,1,1,0
0.08342468283791199,155,113,74,36,17,6,3,1,0,0
0.08820856307415863,151,98,66,34,16,6,2,1,1,1
0.07359788250155638,149,103,64,28,13,2,0,0,0,0
