MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.19253086143107434,35,25,16,13,10,6,3,2,1,1
0.14860872746919865,36,28,17,13,10,8,5,2,1,0
0.07774547832200496,42,29,16,10,7,4,4,3,2,2
0.12887775285351388,39,30,24,13,7,4,1,0,0,0
0.11110454287976688,42,27,19,12,9,4,2,1,1,1
0.12261175861859247,36,27,20,12,8,7,3,0,0,0
0.17770419446081556,34,26,17,11,8,6,2,1,1,1
0.13099988327736334,40,23,20,12,8,4,3,2,1,1
0.13675841597500504,40,30,22,15,11,2,2,1,1,0
0.16547010662341982,44,26,17,10,7,4,4,4,2,1
0.14270097335798754,44,35,24,13,10,7,4,3,2,2
0.09538262408419952,39,25,18,9,6,3,1,1,1,1
0.1343843155431472,36,25,18,9,5,4,2,1,1,1
0.13159365953961064,37,25,19,11,6,5,2,1,1,1
0.15938370514599287,42,35,21,13,6,3,3,3,0,0
0.10362496459183346,36,26,16,12,7,4,1,1,1,1
0.17582754997498234,36,28,20,15,11,8,3,2,2,1
0.07470036820747497,38,22,12,10,4,3,1,1,0,0
0.10301584773656185,41,32,22,15,8,1,1,0,0,0
0.18037008626345846,40,28,21,13,9,4,3,1,0,0
0.13844206947994916,34,22,12,9,7,4,3,3,2,1
0.13497152646719332,42,33,22,9,6,2,0,0,0,0
0.11352678203977577,35,25,20,17,9,8,5,2,0,0
0.12137486426793945,43,30,24,15,9,4,2,0,0,0
0.16719789449764147,42,34,22,18,9,6,4,2,1,0
0.13825221679902674,37,26,20,11,8,7,5,4,2,1
0.10454091136533727,42,27,20,11,7,3,2,0,0,0
0.08967599784931309,37,26,16,10,4,1,0,0,0,0
0.11835043120721411,44,32,27,12,7,4,3,3,1,1
0.15562263122578718,40,33,22,13,10,7,6,4,3,2
