mse,ep1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.21845086377447773,665,468,353,188,124,61,31,6,6,3
0.08764613686446363,640,463,347,185,126,52,27,0,0,0
0.08611357649836905,652,466,358,184,128,45,17,0,0,0
0.09745814054985305,624,444,325,156,104,46,17,0,0,0
0.11140054977842485,638,474,357,177,122,50,19,0,0,0
0.08008934673236712,605,432,303,153,105,62,23,1,0,0
0.08758556976766653,643,464,342,177,122,54,12,1,1,0
0.13485422562915542,636,462,356,193,128,59,24,2,2,1
0.11199345816725689,645,461,360,185,123,47,15,2,1,0
0.12377925236466547,637,465,340,185,126,56,18,1,0,0
0.0743696476076578,617,440,328,164,111,50,10,0,0,0
0.11211731853588469,636,442,319,155,105,51,21,2,1,1
0.08772621248933761,653,475,363,180,115,46,14,1,0,0
0.09760903639854077,652,486,371,180,129,55,18,0,0,0
0.10572958299576819,612,457,347,175,124,57,28,2,1,1
0.09236654473563581,607,437,339,176,120,57,20,1,0,0
0.1257486763745377,651,475,377,189,120,54,16,3,2,1
0.09251753053697578,637,453,336,179,120,50,21,1,0,0
0.1031867079660229,612,446,324,159,99,43,13,1,1,0
0.08136961250064645,624,459,346,186,130,49,18,0,0,0
0.09286226796591389,624,452,322,167,109,49,18,2,1,0
0.10926987203198044,643,473,358,175,126,58,16,1,1,0
0.13133567070743588,650,469,354,176,122,61,14,1,1,1
0.08487111529489759,636,452,332,170,117,40,14,1,0,0
0.13839183149402481,655,486,378,201,133,62,13,2,1,1
0.10627947127309176,639,438,333,152,99,35,10,0,0,0
0.09895427038851663,629,469,355,161,100,52,17,1,1,1
0.09884372292987566,649,458,320,158,104,43,17,3,1,0
0.08338588831457312,638,465,337,168,124,52,20,0,0,0
0.13004513749725707,637,443,327,160,117,53,19,1,0,0
