mse,ep1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.10273014359168113,36,27,15,10,5,3,1,1,1,1
0.07462976970026218,37,24,16,6,3,1,1,0,0,0
0.12706197363716315,39,31,16,9,7,3,2,1,1,1
0.1450500795269974,41,28,21,14,8,6,5,2,1,1
0.14014793798745626,40,30,22,10,8,4,1,1,1,1
0.08328581707916445,39,24,17,7,5,3,2,0,0,0
0.09909567260142338,38,30,22,12,8,0,0,0,0,0
0.08452521172531789,39,24,15,6,5,2,1,0,0,0
0.08389690614273262,35,25,15,9,4,2,2,0,0,0
0.10791515330428539,37,29,14,8,6,3,2,2,2,0
0.10036820812354805,45,30,18,8,4,3,0,0,0,0
0.14224000987011906,39,31,20,10,7,3,3,1,1,1
0.08628935222002009,39,28,19,12,4,3,1,0,0,0
0.09320018210694743,32,22,15,10,4,2,1,1,1,1
0.10020630033456508,34,24,18,8,4,2,2,1,1,1
0.07636287875591617,39,26,16,7,5,1,0,0,0,0
0.11815037837744982,38,24,16,8,4,2,2,1,1,1
0.10022030562179166,37,23,18,10,5,2,1,1,1,0
0.1059427535550164,39,26,17,10,7,2,2,0,0,0
0.08146575176425329,36,25,16,6,3,2,0,0,0,0
0.08318994407302682,38,26,14,11,4,2,1,1,0,0
0.09749740616653321,38,29,18,11,4,2,0,0,0,0
0.09025465283440856,40,30,20,9,5,1,0,0,0,0
0.11355972038451824,40,26,17,12,6,2,2,1,1,0
0.09689463473317553,38,27,12,8,4,4,2,2,1,0
0.10647253637993556,42,29,18,12,5,2,2,0,0,0
0.07872097312767726,39,31,15,7,4,1,0,0,0,0
0.07659106782132483,38,26,18,7,4,0,0,0,0,0
0.13565556600982703,38,31,21,11,7,3,2,2,1,1
0.08702607738700105,36,27,20,10,4,0,0,0,0,0
