MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.07634430526747946,145,101,58,23,14,7,1,1,1,1
0.06458301864584848,144,98,55,19,5,3,1,0,0,0
0.08779760962801708,152,107,57,27,13,10,8,7,1,1
0.08586529422975682,160,119,65,24,11,6,6,1,0,0
0.07923258822613705,155,107,63,26,10,6,3,0,0,0
0.07555796319848995,146,102,59,23,11,6,5,1,1,0
0.08839972211251522,154,113,66,33,14,6,3,1,1,1
0.0862629719634559,159,116,62,26,15,10,6,2,2,1
0.08966928134415199,161,111,64,35,11,6,5,2,2,1
0.07901174766508902,148,103,60,23,14,8,6,2,1,0
0.08361745921250521,157,108,60,26,11,7,6,4,2,1
0.08572935042005278,153,106,59,30,13,9,6,5,2,0
0.06281779185999016,152,94,40,21,6,2,1,1,0,0
0.08870363005359362,160,112,65,28,16,7,5,3,3,2
0.0698639208316853,149,111,56,21,7,3,3,1,1,0
0.08053567765534798,142,100,54,28,13,5,5,4,4,1
0.07812577537595457,149,109,63,23,11,4,3,2,2,1
0.07709907043737857,150,103,64,26,9,4,2,2,1,0
0.08270026375099045,159,106,62,29,11,6,4,1,1,1
0.08042109557622759,158,110,64,26,7,6,5,3,2,2
0.06857851945556756,159,101,55,19,4,3,1,1,1,1
0.07716741535518824,153,99,53,23,9,7,4,3,1,1
0.08358140010094196,157,115,67,29,9,5,5,2,1,0
0.0754750112625948,144,101,53,22,12,7,3,3,1,1
0.08262181617444231,150,105,63,29,10,8,5,2,0,0
0.09377030605997476,167,123,74,28,11,8,7,3,1,1
0.06671065646192484,155,95,56,21,8,4,1,0,0,0
0.07326556715646945,142,105,46,21,9,7,4,3,1,0
0.0737742380875247,148,102,50,21,15,7,1,1,1,1
0.09007583650021779,144,93,57,28,16,12,7,3,2,1
