MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.07333272560789487,307,200,102,50,19,10,4,4,2,1
0.07657362856936534,305,210,112,47,28,14,6,6,0,0
0.08625373228436035,310,219,135,45,25,19,10,6,2,0
0.07288246945659096,299,217,121,46,19,8,2,0,0,0
0.07850551313425347,322,240,129,46,16,6,4,4,1,1
0.07918297357635486,294,205,124,56,21,12,6,5,2,1
0.0825170239898992,310,213,127,50,27,12,9,3,1,1
0.07961592852627022,292,215,118,51,21,13,6,5,3,2
0.082264572026318,296,200,117,52,24,16,10,7,3,2
0.07688468799605173,299,208,113,45,24,14,6,2,0,0
0.0781776788694675,305,209,116,57,20,11,6,2,0,0
0.07707525258890874,299,210,122,52,18,8,6,3,3,0
0.06954583902079142,303,201,112,37,12,6,4,3,3,2
0.07474483074650551,304,192,114,42,18,11,7,2,1,1
0.08064569621193793,299,204,122,47,23,12,7,3,1,1
0.08437751882905428,299,213,123,47,23,13,10,5,3,2
0.08031012504080506,319,229,112,37,19,11,8,6,3,2
0.08518792188658152,308,227,127,41,21,17,11,5,3,1
0.07773743904926964,285,188,115,49,24,15,8,3,2,0
0.08894214373852585,313,239,128,56,25,13,8,6,5,1
0.07676891630699455,307,207,106,45,19,14,7,3,0,0
0.07547347680933085,310,195,109,46,20,12,9,3,1,0
0.07713120452351131,305,227,128,46,18,11,6,2,0,0
0.076412692556392,307,216,119,46,15,11,7,4,2,1
0.07827814436077471,311,231,112,45,19,10,6,4,2,1
0.09151322874528926,307,216,127,63,31,15,12,5,2,1
0.08486443749317592,301,213,113,50,20,15,10,7,4,2
0.07801604497343609,302,215,126,48,23,15,5,3,0,0
0.08762640227936327,319,220,129,60,25,16,13,3,3,2
0.07647234053435886,309,210,119,44,15,9,6,4,1,1
