MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.10178120567059341,43,30,23,15,11,7,2,1,0,0
0.08931440365912104,42,34,23,12,7,5,1,1,0,0
0.0771542916130277,46,33,20,13,10,8,4,4,4,4
0.06302988520441931,36,29,23,14,5,3,3,1,0,0
0.08728730758239701,42,34,21,13,9,5,3,3,2,1
0.0939853298260702,37,26,19,10,6,2,1,0,0,0
0.07735541249187312,35,28,22,12,9,5,5,1,0,0
0.08526128055780204,37,25,21,12,5,3,2,1,1,1
0.066641247487748,40,32,19,11,8,6,2,2,0,0
0.06751744620286865,42,30,22,12,7,3,1,1,0,0
0.09087512451504905,43,30,19,13,9,7,6,5,2,2
0.06967156168624775,38,28,20,13,9,4,3,0,0,0
0.06458575871583497,30,22,12,8,5,1,1,0,0,0
0.06426843489164927,39,27,20,12,9,6,3,3,2,0
0.084649437775953,42,31,26,16,12,7,4,1,0,0
0.0982424357910779,43,34,21,14,10,7,4,4,3,3
0.106261614984901,42,30,19,9,7,5,4,3,1,1
0.09346006672641213,40,33,21,11,7,3,2,1,1,1
0.07512451611964623,40,34,23,18,9,6,5,3,3,2
0.10305963310727004,37,31,23,17,8,6,5,3,2,0
0.09489383684485649,39,33,21,15,3,2,1,0,0,0
0.0819709069550706,38,29,19,8,5,4,2,1,1,0
0.09750398908777734,41,27,20,15,9,7,6,5,3,2
0.07995909498178522,40,32,20,11,4,3,3,2,2,0
0.1045125015947841,39,31,23,17,13,9,6,5,2,1
0.09755232723671248,38,31,27,15,9,6,4,2,1,0
0.07984285144329588,38,25,19,11,4,4,1,1,1,0
0.07479977074862731,39,30,22,16,12,6,2,0,0,0
0.07510098074203538,39,36,25,12,6,5,5,5,5,2
0.07531758388910215,37,27,19,13,7,4,3,1,0,0
