MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.07734687058189003,77,51,32,13,7,2,0,0,0,0
0.09056835578742077,78,60,37,14,7,3,1,1,1,0
0.09111641266557075,74,59,42,17,6,2,1,0,0,0
0.07954942701347706,74,47,29,14,8,3,2,1,1,0
0.07885233384798301,69,47,33,17,7,3,0,0,0,0
0.07762429018444943,78,54,28,14,6,2,2,0,0,0
0.09842065797971394,82,60,37,14,8,2,1,1,1,1
0.11621591836247168,79,54,38,22,14,7,4,1,1,1
0.0762494767774126,71,50,31,10,3,3,2,1,1,0
0.10085333212816007,81,58,35,21,9,8,4,0,0,0
0.0998515737522233,84,66,45,19,10,4,0,0,0,0
0.08768249165221502,75,56,30,18,8,4,1,1,0,0
0.12356064307097885,75,62,48,21,15,10,6,2,1,1
0.08438978235142604,79,61,37,15,7,2,0,0,0,0
0.10153579267398119,82,54,35,18,7,4,2,1,1,1
0.0861292693856116,76,50,33,18,8,3,0,0,0,0
0.12461802745779066,82,53,34,22,14,9,6,2,1,1
0.10381006664548906,79,52,35,21,9,3,2,2,1,1
0.10475959130042946,70,53,38,18,9,3,3,2,2,1
0.1270856844354778,81,61,39,20,12,6,4,4,3,3
0.0973199956607596,72,53,36,18,11,6,3,0,0,0
0.08187492668707887,76,49,22,13,9,5,2,1,0,0
0.11813197149520636,67,49,36,25,11,6,4,3,1,1
0.1318327403863533,73,51,40,24,14,6,5,4,3,2
0.10482406933576006,71,47,30,15,9,5,3,3,3,2
0.07237089632595395,74,47,35,12,6,1,1,1,0,0
0.09122630148615105,75,54,29,16,11,7,4,0,0,0
0.06328924016296891,69,42,25,10,5,2,1,0,0,0
0.08027335175775628,74,46,26,14,9,6,1,1,0,0
0.10057156302443478,75,50,37,15,6,4,4,3,2,0
