MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.09428409305847234,591,410,272,147,70,43,18,8,6,3
0.10185927580757352,616,405,273,146,86,43,24,14,10,6
0.08525937274075703,579,396,249,123,59,31,14,8,4,4
0.09078366118443142,595,421,267,131,71,39,17,10,2,1
0.09832276030808883,584,422,281,131,72,36,20,9,6,5
0.1013977316979243,606,451,273,150,90,42,16,9,7,5
0.09325585343324362,600,429,281,144,76,33,17,6,4,2
0.10246753041053772,625,443,296,164,92,41,19,9,4,2
0.0933825847937647,608,427,271,144,71,30,14,5,5,3
0.09836247588002996,622,416,262,146,76,38,22,11,6,5
0.10664507517849212,633,472,298,171,87,45,26,8,6,3
0.10139297366199854,619,436,297,147,83,39,24,10,6,5
0.10168360148469191,593,442,296,160,90,42,18,10,5,4
0.09188836743285662,604,408,277,144,75,25,11,8,5,4
0.10182405964382843,629,449,307,161,82,43,15,5,5,3
0.10249237993711958,605,425,290,148,85,43,22,10,6,4
0.09856147811840771,613,427,271,127,67,41,26,15,7,4
0.08809408135894306,612,425,267,124,54,25,9,6,4,4
0.08869184461053176,605,415,286,135,67,28,12,4,3,0
0.09447607703990628,594,426,271,144,75,38,23,7,5,1
0.0896622863094004,581,419,260,127,64,35,15,5,3,3
0.09734216414098586,593,419,282,142,72,45,19,9,6,6
0.09198812482263778,599,430,274,127,68,32,17,7,5,3
0.10956070355305789,614,439,289,161,89,48,23,11,8,5
0.10020775469687292,630,443,276,138,80,39,22,13,8,4
0.10283049332402634,604,428,287,151,89,53,28,16,8,3
0.10018973850370444,596,425,274,156,79,43,21,10,3,2
0.09873099043676033,605,433,279,147,83,44,20,11,4,2
0.09873548426456366,594,424,266,141,86,42,21,10,6,4
0.09341405997971815,616,434,292,137,67,37,16,3,3,3
