MSE,eps1,eps2,eps3,eps4,eps5,eps6,eps7,eps8,eps9,eps10
0.09498874306834515,302,231,154,106,65,36,22,12,6,4
0.09828878504875144,329,240,184,115,69,37,19,12,8,4
0.0867108566994017,301,216,157,93,60,31,18,4,1,0
0.09588256898806682,309,230,168,97,53,33,19,14,10,7
0.10676153209854397,307,234,172,108,61,43,25,11,6,4
0.08970200575356263,302,226,159,103,58,32,15,8,8,5
0.11187745714830875,317,227,165,115,81,52,32,22,17,11
0.09238247660327095,298,222,162,102,63,38,25,20,13,10
0.10044501765890913,305,229,168,114,74,43,25,16,11,9
0.1053640965046125,309,243,190,124,85,39,19,13,9,6
0.10254055844245308,313,238,167,104,60,27,16,9,7,7
0.09529213427849564,312,231,163,108,67,39,24,9,8,6
0.09150797543904536,317,231,170,109,69,35,15,11,8,4
0.09751195000882816,317,233,169,106,63,34,18,11,6,3
0.09793594455320292,306,231,158,103,59,33,23,12,6,6
0.10653568226895464,320,239,181,125,85,55,29,18,11,6
0.10476519150152129,315,234,169,114,75,41,23,14,6,4
0.09927427759124713,301,226,173,114,68,43,32,20,13,7
0.10014164114713171,301,233,168,108,61,41,26,15,9,3
0.09915492405014825,316,235,168,105,63,30,14,9,6,5
0.07926010449389378,299,211,147,85,53,26,11,7,5,3
0.09888413051390177,309,222,161,101,59,36,23,12,9,7
0.10310111463726408,315,232,163,104,66,43,27,17,12,9
0.09970466958868991,306,233,166,106,70,41,16,11,9,7
0.10139779842587293,325,220,168,117,73,39,17,13,9,8
0.09617871648464123,331,238,167,107,62,33,19,11,6,4
0.08707568197546892,293,206,143,101,68,29,16,10,7,5
0.09264570479710564,313,230,155,105,60,31,22,12,9,7
0.09485529762305524,321,229,154,100,56,35,17,10,5,4
0.09812364821419449,307,222,167,102,65,39,23,14,7,6
